time,exp,tink,ref
,0.215,0.361,0.424
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.009,0.289,0.702
,0.0,0.0,0.0
,0.624,0.28,0.096
,0.142,0.243,0.615
,0.297,0.481,0.222
,0.336,0.341,0.323
,0.445,0.305,0.25
,0.281,0.265,0.454
,0.715,0.279,0.006
,0.119,0.494,0.387
,0.465,0.059,0.476
,0.343,0.228,0.429
,0.702,0.162,0.136
,0.824,0.164,0.012
,0.222,0.164,0.614
,0.883,0.06,0.057
,0.145,0.406,0.449
,0.603,0.385,0.012
,0.115,0.375,0.51
,0.208,0.274,0.518
,0.264,0.133,0.603
,0.785,0.2,0.015
,0.612,0.038,0.35
,0.153,0.504,0.343
,0.718,0.066,0.216
,0.262,0.013,0.725
,0.139,0.745,0.116
