user,exp,tink,ref
ohmmgg1,0.43,0.566,0.004
ohmmgg2,0.978,0.01,0.012
ohmmgg3,0.179,0.247,0.574
ohmmgg4,0.437,0.414,0.149
ohmmgg5,0.372,0.189,0.439
ohmmgg6,0.02,0.852,0.128
ohmmgg7,0.95,0.045,0.005
ohmmgg8,0.488,0.208,0.304
ohmmgg9,0.76,0.064,0.176
ohmmgg10,0.702,0.162,0.136
ohmmgg11,0.534,0.372,0.094
ohmmgg12,0.737,0.184,0.079
ohmmgg13,0.975,0.001,0.024
ohmmgg14,0.307,0.341,0.352
ohmmgg15,0.914,0.064,0.022
ohmmgg16,0.849,0.125,0.026
ohmmgg17,0.643,0.322,0.035
ohmmgg18,0.506,0.078,0.416
ohmmgg19,0.587,0.127,0.286
ohmmgg20,0.218,0.326,0.456
ohmmgg21,0.0,0.0,0.0
ohmmgg22,0.655,0.32,0.025
ohmmgg23,0.055,0.676,0.269
ohmmgg24,0.513,0.388,0.099
ohmmgg25,0.434,0.292,0.274
