user,exp,tink,ref
ohmmgg1,0.0,0.0,0.0
ohmmgg2,0.629,0.072,0.299
ohmmgg3,0.762,0.106,0.132
ohmmgg4,0.159,0.513,0.328
ohmmgg5,0.833,0.012,0.155
ohmmgg6,0.043,0.106,0.851
ohmmgg7,0.699,0.173,0.128
ohmmgg8,0.261,0.348,0.391
ohmmgg9,0.068,0.928,0.004
ohmmgg10,0.824,0.164,0.012
ohmmgg11,0.97,0.016,0.014
ohmmgg12,0.569,0.195,0.236
ohmmgg13,0.368,0.253,0.379
ohmmgg14,0.133,0.235,0.632
ohmmgg15,0.826,0.06,0.114
ohmmgg16,0.808,0.115,0.077
ohmmgg17,0.385,0.067,0.548
ohmmgg18,0.64,0.3,0.06
ohmmgg19,0.603,0.012,0.385
ohmmgg20,0.0,0.0,0.0
ohmmgg21,0.036,0.171,0.793
ohmmgg22,0.111,0.693,0.196
ohmmgg23,0.051,0.399,0.55
ohmmgg24,0.136,0.629,0.235
ohmmgg25,0.298,0.687,0.015
