user,exp,tink,ref
ohmmgg1,0.86,0.031,0.109
ohmmgg2,0.638,0.137,0.225
ohmmgg3,0.103,0.717,0.18
ohmmgg4,0.503,0.225,0.272
ohmmgg5,0.0,0.0,0.0
ohmmgg6,0.822,0.081,0.097
ohmmgg7,0.275,0.092,0.633
ohmmgg8,0.147,0.606,0.247
ohmmgg9,0.742,0.022,0.236
ohmmgg10,0.343,0.228,0.429
ohmmgg11,0.0,0.0,0.0
ohmmgg12,0.06,0.549,0.391
ohmmgg13,0.182,0.013,0.805
ohmmgg14,0.0,0.0,0.0
ohmmgg15,0.049,0.457,0.494
ohmmgg16,0.575,0.286,0.139
ohmmgg17,0.678,0.073,0.249
ohmmgg18,0.63,0.191,0.179
ohmmgg19,0.0,0.0,0.0
ohmmgg20,0.0,0.0,0.0
ohmmgg21,0.521,0.184,0.295
ohmmgg22,0.264,0.439,0.297
ohmmgg23,0.0,0.0,0.0
ohmmgg24,0.743,0.188,0.069
ohmmgg25,0.723,0.245,0.032
