time,exp,tink,ref
,0.031,0.639,0.33
,0.355,0.249,0.396
,0.515,0.049,0.436
,0.204,0.443,0.353
,0.481,0.188,0.331
,0.149,0.732,0.119
,0.27,0.147,0.583
,0.412,0.521,0.067
,0.346,0.475,0.179
,0.577,0.386,0.037
,0.393,0.341,0.266
,0.467,0.28,0.253
,0.799,0.06,0.141
,0.392,0.314,0.294
,0.0,0.0,0.0
,0.307,0.341,0.352
,0.133,0.235,0.632
,0.261,0.436,0.303
,0.0,0.698,0.302
,0.302,0.257,0.441
,0.41,0.158,0.432
,0.646,0.188,0.166
,0.12,0.669,0.211
,0.295,0.69,0.015
,0.372,0.101,0.527
,0.784,0.141,0.075
,0.952,0.002,0.046
,0.0,0.0,0.0
,0.51,0.171,0.319
,0.992,0.005,0.003
