time,exp,tink,ref
,0.724,0.072,0.204
,0.138,0.169,0.693
,0.17,0.656,0.174
,0.539,0.326,0.135
,0.584,0.276,0.14
,0.257,0.676,0.067
,0.276,0.442,0.282
,0.542,0.318,0.14
,0.115,0.236,0.649
,0.003,0.164,0.833
,0.545,0.311,0.144
,0.582,0.137,0.281
,0.703,0.258,0.039
,0.297,0.248,0.455
,0.182,0.013,0.805
,0.975,0.001,0.024
,0.368,0.253,0.379
,0.424,0.105,0.471
,0.708,0.212,0.08
,0.81,0.183,0.007
,0.689,0.038,0.273
,0.7,0.073,0.227
,0.089,0.902,0.009
,0.604,0.38,0.016
,0.0,0.0,0.0
,0.462,0.219,0.319
,0.0,0.0,0.0
,0.163,0.073,0.764
,0.868,0.065,0.067
,0.37,0.365,0.265
