time,exp,tink,ref
,0.182,0.52,0.298
,0.989,0.006,0.005
,0.357,0.548,0.095
,0.239,0.177,0.584
,0.658,0.01,0.332
,0.234,0.582,0.184
,0.292,0.304,0.404
,0.343,0.329,0.328
,0.549,0.162,0.289
,0.558,0.32,0.122
,0.062,0.748,0.19
,0.946,0.011,0.043
,0.939,0.017,0.044
,0.651,0.075,0.274
,0.0,0.0,0.0
,0.218,0.326,0.456
,0.0,0.0,0.0
,0.005,0.712,0.283
,0.132,0.338,0.53
,0.685,0.018,0.297
,0.339,0.276,0.385
,0.278,0.324,0.398
,0.886,0.004,0.11
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.71,0.01,0.28
,0.528,0.434,0.038
,0.257,0.035,0.708
,0.222,0.036,0.742
,0.391,0.517,0.092
