time,exp,tink,ref
,0.224,0.493,0.283
,0.0,0.0,0.0
,0.593,0.263,0.144
,0.196,0.339,0.465
,0.542,0.313,0.145
,0.549,0.091,0.36
,0.911,0.077,0.012
,0.137,0.771,0.092
,0.466,0.119,0.415
,0.0,0.0,0.0
,0.826,0.066,0.108
,0.0,0.0,0.0
,0.782,0.124,0.094
,0.083,0.093,0.824
,0.678,0.073,0.249
,0.643,0.322,0.035
,0.385,0.067,0.548
,0.312,0.286,0.402
,0.986,0.001,0.013
,0.719,0.089,0.192
,0.848,0.022,0.13
,0.409,0.516,0.075
,0.928,0.038,0.034
,0.432,0.21,0.358
,0.965,0.022,0.013
,0.217,0.492,0.291
,0.884,0.028,0.088
,0.706,0.004,0.29
,0.884,0.108,0.008
,0.516,0.085,0.399
