time,exp,tink,ref
,0.93,0.043,0.027
,0.0,0.0,0.0
,0.067,0.211,0.722
,0.0,0.0,0.0
,0.947,0.038,0.015
,0.0,0.0,0.0
,0.839,0.088,0.073
,0.389,0.488,0.123
,0.477,0.333,0.19
,0.47,0.052,0.478
,0.407,0.509,0.084
,0.944,0.013,0.043
,0.704,0.043,0.253
,0.0,0.0,0.0
,0.63,0.191,0.179
,0.506,0.078,0.416
,0.64,0.3,0.06
,0.242,0.081,0.677
,0.896,0.063,0.041
,0.63,0.223,0.147
,0.129,0.573,0.298
,0.71,0.236,0.054
,0.0,0.0,0.0
,0.534,0.189,0.277
,0.29,0.491,0.219
,0.116,0.728,0.156
,0.878,0.114,0.008
,0.337,0.407,0.256
,0.91,0.003,0.087
,0.346,0.562,0.092
