time,exp,tink,ref
,0.732,0.177,0.091
,0.488,0.048,0.464
,0.415,0.057,0.528
,0.639,0.002,0.359
,0.472,0.502,0.026
,0.669,0.109,0.222
,0.76,0.0,0.24
,0.69,0.286,0.024
,0.81,0.089,0.101
,0.375,0.373,0.252
,0.456,0.024,0.52
,0.804,0.076,0.12
,0.763,0.154,0.083
,0.357,0.454,0.189
,0.275,0.092,0.633
,0.95,0.045,0.005
,0.699,0.173,0.128
,0.475,0.193,0.332
,0.429,0.425,0.146
,0.739,0.144,0.117
,0.592,0.061,0.347
,0.207,0.324,0.469
,0.749,0.166,0.085
,0.66,0.251,0.089
,0.492,0.455,0.053
,0.315,0.635,0.05
,0.827,0.132,0.041
,0.149,0.1,0.751
,0.611,0.097,0.292
,0.672,0.287,0.041
