time,exp,tink,ref
,0.0,0.0,0.0
,0.222,0.75,0.028
,0.591,0.208,0.201
,0.093,0.663,0.244
,0.756,0.192,0.052
,0.822,0.018,0.16
,0.136,0.253,0.611
,0.796,0.082,0.122
,0.406,0.489,0.105
,0.785,0.156,0.059
,0.928,0.011,0.061
,0.182,0.569,0.249
,0.0,0.0,0.0
,0.085,0.531,0.384
,0.06,0.549,0.391
,0.737,0.184,0.079
,0.569,0.195,0.236
,0.547,0.003,0.45
,0.89,0.016,0.094
,0.0,0.0,0.0
,0.755,0.109,0.136
,0.097,0.534,0.369
,0.796,0.127,0.077
,0.292,0.075,0.633
,0.096,0.665,0.239
,0.319,0.071,0.61
,0.519,0.043,0.438
,0.0,0.0,0.0
,0.126,0.436,0.438
,0.74,0.095,0.165
