user,exp,tink,ref
ohmmgg1,0.677,0.063,0.26
ohmmgg2,0.103,0.759,0.138
ohmmgg3,0.966,0.033,0.001
ohmmgg4,0.0,0.0,0.0
ohmmgg5,0.684,0.084,0.232
ohmmgg6,0.779,0.13,0.091
ohmmgg7,0.81,0.089,0.101
ohmmgg8,0.402,0.252,0.346
ohmmgg9,0.0,0.0,0.0
ohmmgg10,0.336,0.341,0.323
ohmmgg11,0.486,0.268,0.246
ohmmgg12,0.406,0.489,0.105
ohmmgg13,0.115,0.236,0.649
ohmmgg14,0.346,0.475,0.179
ohmmgg15,0.346,0.187,0.467
ohmmgg16,0.313,0.607,0.08
ohmmgg17,0.466,0.119,0.415
ohmmgg18,0.477,0.333,0.19
ohmmgg19,0.941,0.014,0.045
ohmmgg20,0.549,0.162,0.289
ohmmgg21,0.817,0.154,0.029
ohmmgg22,0.0,0.0,0.0
ohmmgg23,0.0,0.0,0.0
ohmmgg24,0.577,0.078,0.345
ohmmgg25,0.96,0.035,0.005
