user,exp,tink,ref
ohmmgg1,0.554,0.313,0.133
ohmmgg2,0.0,0.0,0.0
ohmmgg3,0.0,0.0,0.0
ohmmgg4,0.123,0.169,0.708
ohmmgg5,0.0,0.0,0.0
ohmmgg6,0.407,0.519,0.074
ohmmgg7,0.357,0.454,0.189
ohmmgg8,0.7,0.109,0.191
ohmmgg9,0.787,0.056,0.157
ohmmgg10,0.465,0.059,0.476
ohmmgg11,0.253,0.707,0.04
ohmmgg12,0.085,0.531,0.384
ohmmgg13,0.297,0.248,0.455
ohmmgg14,0.392,0.314,0.294
ohmmgg15,0.833,0.057,0.11
ohmmgg16,0.0,0.0,0.0
ohmmgg17,0.083,0.093,0.824
ohmmgg18,0.0,0.0,0.0
ohmmgg19,0.727,0.128,0.145
ohmmgg20,0.651,0.075,0.274
ohmmgg21,0.642,0.241,0.117
ohmmgg22,0.713,0.182,0.105
ohmmgg23,0.784,0.086,0.13
ohmmgg24,0.249,0.649,0.102
ohmmgg25,0.847,0.021,0.132
