user,exp,tink,ref
ohmmgg1,0.882,0.023,0.095
ohmmgg2,0.602,0.313,0.085
ohmmgg3,0.415,0.076,0.509
ohmmgg4,0.992,0.002,0.006
ohmmgg5,0.332,0.123,0.545
ohmmgg6,0.99,0.002,0.008
ohmmgg7,0.492,0.455,0.053
ohmmgg8,0.548,0.153,0.299
ohmmgg9,0.033,0.399,0.568
ohmmgg10,0.785,0.2,0.015
ohmmgg11,0.494,0.105,0.401
ohmmgg12,0.096,0.665,0.239
ohmmgg13,0.0,0.0,0.0
ohmmgg14,0.372,0.101,0.527
ohmmgg15,0.74,0.24,0.02
ohmmgg16,0.163,0.625,0.212
ohmmgg17,0.965,0.022,0.013
ohmmgg18,0.29,0.491,0.219
ohmmgg19,0.0,0.0,0.0
ohmmgg20,0.0,0.0,0.0
ohmmgg21,0.12,0.402,0.478
ohmmgg22,0.505,0.291,0.204
ohmmgg23,0.582,0.395,0.023
ohmmgg24,0.305,0.239,0.456
ohmmgg25,0.657,0.019,0.324
