time,exp,tink,ref
,0.0,0.0,0.0
,0.477,0.286,0.237
,0.15,0.201,0.649
,0.323,0.102,0.575
,0.972,0.027,0.001
,0.255,0.379,0.366
,0.673,0.175,0.152
,0.073,0.4,0.527
,0.0,0.0,0.0
,0.793,0.179,0.028
,0.0,0.0,0.0
,0.167,0.184,0.649
,0.14,0.073,0.787
,0.713,0.182,0.105
,0.264,0.439,0.297
,0.655,0.32,0.025
,0.111,0.693,0.196
,0.396,0.019,0.585
,0.484,0.359,0.157
,0.715,0.044,0.241
,0.0,0.0,0.0
,0.937,0.057,0.006
,0.294,0.212,0.494
,0.695,0.042,0.263
,0.505,0.291,0.204
,0.414,0.433,0.153
,0.388,0.084,0.528
,0.0,0.0,0.0
,0.145,0.208,0.647
,0.009,0.754,0.237
