user,exp,tink,ref
ohmmgg1,0.627,0.065,0.308
ohmmgg2,0.109,0.205,0.686
ohmmgg3,0.144,0.134,0.722
ohmmgg4,0.829,0.071,0.1
ohmmgg5,0.4,0.413,0.187
ohmmgg6,0.232,0.258,0.51
ohmmgg7,0.69,0.286,0.024
ohmmgg8,0.897,0.044,0.059
ohmmgg9,0.16,0.246,0.594
ohmmgg10,0.297,0.481,0.222
ohmmgg11,0.897,0.04,0.063
ohmmgg12,0.796,0.082,0.122
ohmmgg13,0.542,0.318,0.14
ohmmgg14,0.412,0.521,0.067
ohmmgg15,0.136,0.341,0.523
ohmmgg16,0.389,0.114,0.497
ohmmgg17,0.137,0.771,0.092
ohmmgg18,0.389,0.488,0.123
ohmmgg19,0.535,0.033,0.432
ohmmgg20,0.343,0.329,0.328
ohmmgg21,0.0,0.0,0.0
ohmmgg22,0.073,0.4,0.527
ohmmgg23,0.018,0.525,0.457
ohmmgg24,0.133,0.326,0.541
ohmmgg25,0.12,0.655,0.225
