user,exp,tink,ref
ohmmgg1,0.387,0.169,0.444
ohmmgg2,0.658,0.018,0.324
ohmmgg3,0.483,0.341,0.176
ohmmgg4,0.261,0.502,0.237
ohmmgg5,0.875,0.082,0.043
ohmmgg6,0.848,0.025,0.127
ohmmgg7,0.592,0.061,0.347
ohmmgg8,0.906,0.018,0.076
ohmmgg9,0.75,0.102,0.148
ohmmgg10,0.603,0.385,0.012
ohmmgg11,0.045,0.47,0.485
ohmmgg12,0.755,0.109,0.136
ohmmgg13,0.689,0.038,0.273
ohmmgg14,0.41,0.158,0.432
ohmmgg15,0.452,0.475,0.073
ohmmgg16,0.429,0.121,0.45
ohmmgg17,0.848,0.022,0.13
ohmmgg18,0.129,0.573,0.298
ohmmgg19,0.559,0.159,0.282
ohmmgg20,0.339,0.276,0.385
ohmmgg21,0.137,0.841,0.022
ohmmgg22,0.0,0.0,0.0
ohmmgg23,0.228,0.379,0.393
ohmmgg24,0.255,0.524,0.221
ohmmgg25,0.0,0.0,0.0
