user,exp,tink,ref
ohmmgg1,0.25,0.508,0.242
ohmmgg2,0.815,0.088,0.097
ohmmgg3,0.803,0.159,0.038
ohmmgg4,0.464,0.198,0.338
ohmmgg5,0.0,0.0,0.0
ohmmgg6,0.137,0.757,0.106
ohmmgg7,0.639,0.002,0.359
ohmmgg8,0.194,0.495,0.311
ohmmgg9,0.097,0.76,0.143
ohmmgg10,0.009,0.289,0.702
ohmmgg11,0.0,0.0,0.0
ohmmgg12,0.093,0.663,0.244
ohmmgg13,0.539,0.326,0.135
ohmmgg14,0.204,0.443,0.353
ohmmgg15,0.909,0.038,0.053
ohmmgg16,0.0,0.0,0.0
ohmmgg17,0.196,0.339,0.465
ohmmgg18,0.0,0.0,0.0
ohmmgg19,0.552,0.178,0.27
ohmmgg20,0.239,0.177,0.584
ohmmgg21,0.957,0.021,0.022
ohmmgg22,0.323,0.102,0.575
ohmmgg23,0.463,0.441,0.096
ohmmgg24,0.213,0.697,0.09
ohmmgg25,0.98,0.016,0.004
