user,exp,tink,ref
ohmmgg1,0.0,0.0,0.0
ohmmgg2,0.0,0.0,0.0
ohmmgg3,0.126,0.787,0.087
ohmmgg4,0.782,0.036,0.182
ohmmgg5,0.63,0.218,0.152
ohmmgg6,0.802,0.021,0.177
ohmmgg7,0.739,0.144,0.117
ohmmgg8,0.264,0.133,0.603
ohmmgg9,0.199,0.263,0.538
ohmmgg10,0.145,0.406,0.449
ohmmgg11,0.685,0.22,0.095
ohmmgg12,0.0,0.0,0.0
ohmmgg13,0.81,0.183,0.007
ohmmgg14,0.302,0.257,0.441
ohmmgg15,0.154,0.416,0.43
ohmmgg16,0.944,0.024,0.032
ohmmgg17,0.719,0.089,0.192
ohmmgg18,0.63,0.223,0.147
ohmmgg19,0.823,0.009,0.168
ohmmgg20,0.685,0.018,0.297
ohmmgg21,0.263,0.277,0.46
ohmmgg22,0.715,0.044,0.241
ohmmgg23,0.213,0.125,0.662
ohmmgg24,0.834,0.017,0.149
ohmmgg25,0.497,0.194,0.309
