time,exp,tink,ref
,0.415,0.403,0.182
,0.128,0.686,0.186
,0.047,0.651,0.302
,0.213,0.697,0.09
,0.374,0.28,0.346
,0.295,0.514,0.191
,0.046,0.753,0.201
,0.133,0.326,0.541
,0.577,0.078,0.345
,0.568,0.321,0.111
,0.849,0.087,0.064
,0.048,0.133,0.819
,0.673,0.225,0.102
,0.249,0.649,0.102
,0.743,0.188,0.069
,0.513,0.388,0.099
,0.136,0.629,0.235
,0.244,0.361,0.395
,0.514,0.477,0.009
,0.834,0.017,0.149
,0.255,0.524,0.221
,0.838,0.041,0.121
,0.025,0.181,0.794
,0.412,0.504,0.084
,0.305,0.239,0.456
,0.053,0.94,0.007
,0.44,0.488,0.072
,0.955,0.008,0.037
,0.88,0.0,0.12
,0.797,0.089,0.114
