user,exp,tink,ref
ohmmgg1,0.547,0.379,0.074
ohmmgg2,0.931,0.024,0.045
ohmmgg3,0.982,0.018,0.0
ohmmgg4,0.139,0.055,0.806
ohmmgg5,0.29,0.612,0.098
ohmmgg6,0.593,0.311,0.096
ohmmgg7,0.611,0.097,0.292
ohmmgg8,0.237,0.199,0.564
ohmmgg9,0.967,0.009,0.024
ohmmgg10,0.262,0.013,0.725
ohmmgg11,0.644,0.071,0.285
ohmmgg12,0.126,0.436,0.438
ohmmgg13,0.868,0.065,0.067
ohmmgg14,0.51,0.171,0.319
ohmmgg15,0.0,0.0,0.0
ohmmgg16,0.311,0.087,0.602
ohmmgg17,0.884,0.108,0.008
ohmmgg18,0.91,0.003,0.087
ohmmgg19,0.931,0.043,0.026
ohmmgg20,0.222,0.036,0.742
ohmmgg21,0.848,0.121,0.031
ohmmgg22,0.145,0.208,0.647
ohmmgg23,0.297,0.038,0.665
ohmmgg24,0.88,0.0,0.12
ohmmgg25,0.598,0.21,0.192
