time,exp,tink,ref
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.396,0.113,0.491
,0.957,0.021,0.022
,0.611,0.309,0.08
,0.086,0.448,0.466
,0.093,0.202,0.705
,0.0,0.0,0.0
,0.817,0.154,0.029
,0.974,0.02,0.006
,0.727,0.272,0.001
,0.725,0.132,0.143
,0.38,0.18,0.44
,0.642,0.241,0.117
,0.521,0.184,0.295
,0.0,0.0,0.0
,0.036,0.171,0.793
,0.164,0.377,0.459
,0.562,0.122,0.316
,0.263,0.277,0.46
,0.137,0.841,0.022
,0.378,0.22,0.402
,0.859,0.093,0.048
,0.444,0.004,0.552
,0.12,0.402,0.478
,0.104,0.455,0.441
,0.874,0.126,0.0
,0.0,0.0,0.0
,0.848,0.121,0.031
,0.993,0.0,0.007
