user,exp,tink,ref
ohmmgg1,0.204,0.063,0.733
ohmmgg2,0.295,0.577,0.128
ohmmgg3,0.412,0.048,0.54
ohmmgg4,0.204,0.154,0.642
ohmmgg5,0.367,0.542,0.091
ohmmgg6,0.311,0.648,0.041
ohmmgg7,0.472,0.502,0.026
ohmmgg8,0.3,0.5,0.2
ohmmgg9,0.362,0.085,0.553
ohmmgg10,0.0,0.0,0.0
ohmmgg11,0.708,0.015,0.277
ohmmgg12,0.756,0.192,0.052
ohmmgg13,0.584,0.276,0.14
ohmmgg14,0.481,0.188,0.331
ohmmgg15,0.724,0.096,0.18
ohmmgg16,0.273,0.457,0.27
ohmmgg17,0.542,0.313,0.145
ohmmgg18,0.947,0.038,0.015
ohmmgg19,0.675,0.044,0.281
ohmmgg20,0.658,0.01,0.332
ohmmgg21,0.611,0.309,0.08
ohmmgg22,0.972,0.027,0.001
ohmmgg23,0.0,0.0,0.0
ohmmgg24,0.374,0.28,0.346
ohmmgg25,0.0,0.0,0.0
