user,exp,tink,ref
ohmmgg1,0.264,0.076,0.66
ohmmgg2,0.9,0.008,0.092
ohmmgg3,0.511,0.423,0.066
ohmmgg4,0.833,0.069,0.098
ohmmgg5,0.306,0.564,0.13
ohmmgg6,0.304,0.462,0.234
ohmmgg7,0.732,0.177,0.091
ohmmgg8,0.688,0.035,0.277
ohmmgg9,0.106,0.458,0.436
ohmmgg10,0.215,0.361,0.424
ohmmgg11,0.511,0.201,0.288
ohmmgg12,0.0,0.0,0.0
ohmmgg13,0.724,0.072,0.204
ohmmgg14,0.031,0.639,0.33
ohmmgg15,0.014,0.684,0.302
ohmmgg16,0.709,0.277,0.014
ohmmgg17,0.224,0.493,0.283
ohmmgg18,0.93,0.043,0.027
ohmmgg19,0.18,0.359,0.461
ohmmgg20,0.182,0.52,0.298
ohmmgg21,0.0,0.0,0.0
ohmmgg22,0.0,0.0,0.0
ohmmgg23,0.701,0.018,0.281
ohmmgg24,0.415,0.403,0.182
ohmmgg25,0.713,0.062,0.225
