user,exp,tink,ref
ohmmgg1,0.639,0.303,0.058
ohmmgg2,0.584,0.233,0.183
ohmmgg3,0.0,0.0,0.0
ohmmgg4,0.187,0.049,0.764
ohmmgg5,0.984,0.012,0.004
ohmmgg6,0.623,0.091,0.286
ohmmgg7,0.149,0.1,0.751
ohmmgg8,0.0,0.0,0.0
ohmmgg9,0.0,0.0,0.0
ohmmgg10,0.718,0.066,0.216
ohmmgg11,0.839,0.149,0.012
ohmmgg12,0.0,0.0,0.0
ohmmgg13,0.163,0.073,0.764
ohmmgg14,0.0,0.0,0.0
ohmmgg15,0.335,0.32,0.345
ohmmgg16,0.516,0.225,0.259
ohmmgg17,0.706,0.004,0.29
ohmmgg18,0.337,0.407,0.256
ohmmgg19,0.246,0.204,0.55
ohmmgg20,0.257,0.035,0.708
ohmmgg21,0.0,0.0,0.0
ohmmgg22,0.0,0.0,0.0
ohmmgg23,0.0,0.0,0.0
ohmmgg24,0.955,0.008,0.037
ohmmgg25,0.889,0.109,0.002
