time,exp,tink,ref
,0.713,0.062,0.225
,1.0,0.0,0.0
,0.594,0.025,0.381
,0.98,0.016,0.004
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.633,0.206,0.161
,0.12,0.655,0.225
,0.96,0.035,0.005
,0.494,0.236,0.27
,0.557,0.285,0.158
,0.307,0.64,0.053
,0.634,0.015,0.351
,0.847,0.021,0.132
,0.723,0.245,0.032
,0.434,0.292,0.274
,0.298,0.687,0.015
,0.304,0.104,0.592
,0.0,0.0,0.0
,0.497,0.194,0.309
,0.0,0.0,0.0
,0.881,0.04,0.079
,0.218,0.375,0.407
,0.095,0.113,0.792
,0.657,0.019,0.324
,0.697,0.191,0.112
,0.545,0.263,0.192
,0.889,0.109,0.002
,0.598,0.21,0.192
,0.327,0.546,0.127
