time,exp,tink,ref
,0.106,0.458,0.436
,0.451,0.279,0.27
,0.019,0.505,0.476
,0.097,0.76,0.143
,0.362,0.085,0.553
,0.452,0.214,0.334
,0.84,0.058,0.102
,0.16,0.246,0.594
,0.0,0.0,0.0
,0.867,0.093,0.04
,0.688,0.03,0.282
,0.967,0.021,0.012
,0.04,0.522,0.438
,0.787,0.056,0.157
,0.742,0.022,0.236
,0.76,0.064,0.176
,0.068,0.928,0.004
,0.574,0.21,0.216
,0.0,0.0,0.0
,0.199,0.263,0.538
,0.75,0.102,0.148
,0.029,0.173,0.798
,0.516,0.445,0.039
,0.151,0.234,0.615
,0.033,0.399,0.568
,0.124,0.782,0.094
,0.441,0.261,0.298
,0.0,0.0,0.0
,0.967,0.009,0.024
,0.07,0.386,0.544
