time,exp,tink,ref
,0.701,0.018,0.281
,0.0,0.0,0.0
,0.144,0.384,0.472
,0.463,0.441,0.096
,0.0,0.0,0.0
,0.495,0.375,0.13
,0.597,0.13,0.273
,0.018,0.525,0.457
,0.0,0.0,0.0
,0.798,0.038,0.164
,0.0,0.0,0.0
,0.083,0.542,0.375
,0.461,0.12,0.419
,0.784,0.086,0.13
,0.0,0.0,0.0
,0.055,0.676,0.269
,0.051,0.399,0.55
,0.138,0.147,0.715
,0.857,0.007,0.136
,0.213,0.125,0.662
,0.228,0.379,0.393
,0.209,0.779,0.012
,0.791,0.197,0.012
,0.253,0.737,0.01
,0.582,0.395,0.023
,0.0,0.0,0.0
,0.616,0.322,0.062
,0.0,0.0,0.0
,0.297,0.038,0.665
,0.333,0.602,0.065
