user,exp,tink,ref
ohmmgg1,0.454,0.392,0.154
ohmmgg2,0.0,0.0,0.0
ohmmgg3,0.616,0.079,0.305
ohmmgg4,0.575,0.28,0.145
ohmmgg5,0.535,0.136,0.329
ohmmgg6,0.385,0.154,0.461
ohmmgg7,0.429,0.425,0.146
ohmmgg8,0.3,0.014,0.686
ohmmgg9,0.0,0.0,0.0
ohmmgg10,0.883,0.06,0.057
ohmmgg11,0.514,0.299,0.187
ohmmgg12,0.89,0.016,0.094
ohmmgg13,0.708,0.212,0.08
ohmmgg14,0.0,0.698,0.302
ohmmgg15,0.993,0.001,0.006
ohmmgg16,0.52,0.36,0.12
ohmmgg17,0.986,0.001,0.013
ohmmgg18,0.896,0.063,0.041
ohmmgg19,0.012,0.673,0.315
ohmmgg20,0.132,0.338,0.53
ohmmgg21,0.562,0.122,0.316
ohmmgg22,0.484,0.359,0.157
ohmmgg23,0.857,0.007,0.136
ohmmgg24,0.514,0.477,0.009
ohmmgg25,0.0,0.0,0.0
