user,exp,tink,ref
ohmmgg1,0.02,0.46,0.52
ohmmgg2,0.057,0.36,0.583
ohmmgg3,0.136,0.664,0.2
ohmmgg4,0.874,0.06,0.066
ohmmgg5,0.589,0.074,0.337
ohmmgg6,0.241,0.624,0.135
ohmmgg7,0.749,0.166,0.085
ohmmgg8,0.0,0.0,0.0
ohmmgg9,0.516,0.445,0.039
ohmmgg10,0.208,0.274,0.518
ohmmgg11,0.364,0.018,0.618
ohmmgg12,0.796,0.127,0.077
ohmmgg13,0.089,0.902,0.009
ohmmgg14,0.12,0.669,0.211
ohmmgg15,0.907,0.014,0.079
ohmmgg16,0.505,0.159,0.336
ohmmgg17,0.928,0.038,0.034
ohmmgg18,0.0,0.0,0.0
ohmmgg19,0.263,0.649,0.088
ohmmgg20,0.886,0.004,0.11
ohmmgg21,0.859,0.093,0.048
ohmmgg22,0.294,0.212,0.494
ohmmgg23,0.791,0.197,0.012
ohmmgg24,0.025,0.181,0.794
ohmmgg25,0.218,0.375,0.407
