user,exp,tink,ref
ohmmgg1,0.856,0.054,0.09
ohmmgg2,0.942,0.039,0.019
ohmmgg3,0.922,0.015,0.063
ohmmgg4,0.398,0.28,0.322
ohmmgg5,0.0,0.0,0.0
ohmmgg6,0.738,0.232,0.03
ohmmgg7,0.66,0.251,0.089
ohmmgg8,0.526,0.289,0.185
ohmmgg9,0.151,0.234,0.615
ohmmgg10,0.264,0.133,0.603
ohmmgg11,0.929,0.023,0.048
ohmmgg12,0.292,0.075,0.633
ohmmgg13,0.604,0.38,0.016
ohmmgg14,0.295,0.69,0.015
ohmmgg15,0.479,0.325,0.196
ohmmgg16,0.108,0.109,0.783
ohmmgg17,0.432,0.21,0.358
ohmmgg18,0.534,0.189,0.277
ohmmgg19,0.637,0.169,0.194
ohmmgg20,0.0,0.0,0.0
ohmmgg21,0.444,0.004,0.552
ohmmgg22,0.695,0.042,0.263
ohmmgg23,0.253,0.737,0.01
ohmmgg24,0.412,0.504,0.084
ohmmgg25,0.095,0.113,0.792
