time,exp,tink,ref
,0.014,0.684,0.302
,0.932,0.03,0.038
,0.964,0.004,0.032
,0.909,0.038,0.053
,0.724,0.096,0.18
,0.213,0.072,0.715
,0.737,0.066,0.197
,0.136,0.341,0.523
,0.346,0.187,0.467
,0.479,0.505,0.016
,0.741,0.19,0.069
,0.18,0.243,0.577
,0.399,0.438,0.163
,0.833,0.057,0.11
,0.049,0.457,0.494
,0.914,0.064,0.022
,0.826,0.06,0.114
,0.881,0.041,0.078
,0.993,0.001,0.006
,0.154,0.416,0.43
,0.452,0.475,0.073
,0.641,0.258,0.101
,0.907,0.014,0.079
,0.479,0.325,0.196
,0.74,0.24,0.02
,0.673,0.062,0.265
,0.043,0.044,0.913
,0.335,0.32,0.345
,0.0,0.0,0.0
,0.465,0.456,0.079
