user,exp,tink,ref
ohmmgg1,0.527,0.057,0.416
ohmmgg2,0.065,0.812,0.123
ohmmgg3,0.313,0.382,0.305
ohmmgg4,0.983,0.014,0.003
ohmmgg5,0.427,0.102,0.471
ohmmgg6,0.0,0.0,0.0
ohmmgg7,0.315,0.635,0.05
ohmmgg8,0.289,0.616,0.095
ohmmgg9,0.124,0.782,0.094
ohmmgg10,0.612,0.038,0.35
ohmmgg11,0.27,0.608,0.122
ohmmgg12,0.319,0.071,0.61
ohmmgg13,0.462,0.219,0.319
ohmmgg14,0.784,0.141,0.075
ohmmgg15,0.673,0.062,0.265
ohmmgg16,0.593,0.294,0.113
ohmmgg17,0.217,0.492,0.291
ohmmgg18,0.116,0.728,0.156
ohmmgg19,0.942,0.031,0.027
ohmmgg20,0.71,0.01,0.28
ohmmgg21,0.104,0.455,0.441
ohmmgg22,0.414,0.433,0.153
ohmmgg23,0.0,0.0,0.0
ohmmgg24,0.053,0.94,0.007
ohmmgg25,0.697,0.191,0.112
