user,exp,tink,ref
ohmmgg1,0.506,0.279,0.215
ohmmgg2,0.356,0.116,0.528
ohmmgg3,0.289,0.329,0.382
ohmmgg4,0.0,0.0,0.0
ohmmgg5,0.733,0.168,0.099
ohmmgg6,0.782,0.155,0.063
ohmmgg7,0.375,0.373,0.252
ohmmgg8,0.376,0.086,0.538
ohmmgg9,0.867,0.093,0.04
ohmmgg10,0.445,0.305,0.25
ohmmgg11,0.723,0.021,0.256
ohmmgg12,0.785,0.156,0.059
ohmmgg13,0.003,0.164,0.833
ohmmgg14,0.577,0.386,0.037
ohmmgg15,0.479,0.505,0.016
ohmmgg16,0.351,0.393,0.256
ohmmgg17,0.0,0.0,0.0
ohmmgg18,0.47,0.052,0.478
ohmmgg19,0.137,0.731,0.132
ohmmgg20,0.558,0.32,0.122
ohmmgg21,0.974,0.02,0.006
ohmmgg22,0.793,0.179,0.028
ohmmgg23,0.798,0.038,0.164
ohmmgg24,0.568,0.321,0.111
ohmmgg25,0.494,0.236,0.27
