user,exp,tink,ref
ohmmgg1,0.549,0.008,0.443
ohmmgg2,0.11,0.297,0.593
ohmmgg3,0.359,0.591,0.05
ohmmgg4,0.289,0.385,0.326
ohmmgg5,0.711,0.175,0.114
ohmmgg6,0.0,0.0,0.0
ohmmgg7,0.207,0.324,0.469
ohmmgg8,0.846,0.076,0.078
ohmmgg9,0.029,0.173,0.798
ohmmgg10,0.115,0.375,0.51
ohmmgg11,0.0,0.0,0.0
ohmmgg12,0.097,0.534,0.369
ohmmgg13,0.7,0.073,0.227
ohmmgg14,0.646,0.188,0.166
ohmmgg15,0.641,0.258,0.101
ohmmgg16,0.615,0.274,0.111
ohmmgg17,0.409,0.516,0.075
ohmmgg18,0.71,0.236,0.054
ohmmgg19,0.524,0.336,0.14
ohmmgg20,0.278,0.324,0.398
ohmmgg21,0.378,0.22,0.402
ohmmgg22,0.937,0.057,0.006
ohmmgg23,0.209,0.779,0.012
ohmmgg24,0.838,0.041,0.121
ohmmgg25,0.881,0.04,0.079
