time,exp,tink,ref
,0.306,0.564,0.13
,0.0,0.0,0.0
,0.541,0.38,0.079
,0.0,0.0,0.0
,0.367,0.542,0.091
,0.093,0.753,0.154
,0.706,0.049,0.245
,0.4,0.413,0.187
,0.684,0.084,0.232
,0.733,0.168,0.099
,0.087,0.124,0.789
,0.349,0.458,0.193
,0.499,0.174,0.327
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.372,0.189,0.439
,0.833,0.012,0.155
,0.56,0.003,0.437
,0.535,0.136,0.329
,0.63,0.218,0.152
,0.875,0.082,0.043
,0.711,0.175,0.114
,0.589,0.074,0.337
,0.0,0.0,0.0
,0.332,0.123,0.545
,0.427,0.102,0.471
,0.666,0.13,0.204
,0.984,0.012,0.004
,0.29,0.612,0.098
,0.235,0.504,0.261
