user,exp,tink,ref
ohmmgg1,0.532,0.404,0.064
ohmmgg2,0.65,0.067,0.283
ohmmgg3,0.736,0.252,0.012
ohmmgg4,0.528,0.416,0.056
ohmmgg5,0.349,0.458,0.193
ohmmgg6,0.0,0.0,0.0
ohmmgg7,0.804,0.076,0.12
ohmmgg8,0.871,0.039,0.09
ohmmgg9,0.967,0.021,0.012
ohmmgg10,0.715,0.279,0.006
ohmmgg11,0.752,0.117,0.131
ohmmgg12,0.182,0.569,0.249
ohmmgg13,0.582,0.137,0.281
ohmmgg14,0.467,0.28,0.253
ohmmgg15,0.18,0.243,0.577
ohmmgg16,0.201,0.462,0.337
ohmmgg17,0.0,0.0,0.0
ohmmgg18,0.944,0.013,0.043
ohmmgg19,0.019,0.161,0.82
ohmmgg20,0.946,0.011,0.043
ohmmgg21,0.725,0.132,0.143
ohmmgg22,0.167,0.184,0.649
ohmmgg23,0.083,0.542,0.375
ohmmgg24,0.048,0.133,0.819
ohmmgg25,0.307,0.64,0.053
