user,exp,tink,ref
ohmmgg1,0.414,0.254,0.332
ohmmgg2,0.0,0.0,0.0
ohmmgg3,0.902,0.079,0.019
ohmmgg4,0.333,0.334,0.333
ohmmgg5,0.235,0.504,0.261
ohmmgg6,0.375,0.368,0.257
ohmmgg7,0.672,0.287,0.041
ohmmgg8,0.78,0.184,0.036
ohmmgg9,0.07,0.386,0.544
ohmmgg10,0.139,0.745,0.116
ohmmgg11,0.683,0.102,0.215
ohmmgg12,0.74,0.095,0.165
ohmmgg13,0.37,0.365,0.265
ohmmgg14,0.992,0.005,0.003
ohmmgg15,0.465,0.456,0.079
ohmmgg16,0.0,0.0,0.0
ohmmgg17,0.516,0.085,0.399
ohmmgg18,0.346,0.562,0.092
ohmmgg19,0.868,0.012,0.12
ohmmgg20,0.391,0.517,0.092
ohmmgg21,0.993,0.0,0.007
ohmmgg22,0.009,0.754,0.237
ohmmgg23,0.333,0.602,0.065
ohmmgg24,0.797,0.089,0.114
ohmmgg25,0.327,0.546,0.127
