user,exp,tink,ref
ohmmgg1,0.831,0.039,0.13
ohmmgg2,0.859,0.035,0.106
ohmmgg3,0.262,0.66,0.078
ohmmgg4,0.139,0.841,0.02
ohmmgg5,0.093,0.753,0.154
ohmmgg6,0.52,0.107,0.373
ohmmgg7,0.669,0.109,0.222
ohmmgg8,0.495,0.473,0.032
ohmmgg9,0.452,0.214,0.334
ohmmgg10,0.624,0.28,0.096
ohmmgg11,0.018,0.28,0.702
ohmmgg12,0.822,0.018,0.16
ohmmgg13,0.257,0.676,0.067
ohmmgg14,0.149,0.732,0.119
ohmmgg15,0.213,0.072,0.715
ohmmgg16,0.193,0.498,0.309
ohmmgg17,0.549,0.091,0.36
ohmmgg18,0.0,0.0,0.0
ohmmgg19,0.19,0.232,0.578
ohmmgg20,0.234,0.582,0.184
ohmmgg21,0.086,0.448,0.466
ohmmgg22,0.255,0.379,0.366
ohmmgg23,0.495,0.375,0.13
ohmmgg24,0.295,0.514,0.191
ohmmgg25,0.0,0.0,0.0
