time,exp,tink,ref
,0.264,0.076,0.66
,0.051,0.198,0.751
,0.688,0.163,0.149
,0.25,0.508,0.242
,0.204,0.063,0.733
,0.831,0.039,0.13
,0.257,0.39,0.353
,0.627,0.065,0.308
,0.677,0.063,0.26
,0.506,0.279,0.215
,0.682,0.106,0.212
,0.532,0.404,0.064
,0.989,0.004,0.007
,0.554,0.313,0.133
,0.86,0.031,0.109
,0.43,0.566,0.004
,0.0,0.0,0.0
,0.674,0.273,0.053
,0.454,0.392,0.154
,0.0,0.0,0.0
,0.387,0.169,0.444
,0.549,0.008,0.443
,0.02,0.46,0.52
,0.856,0.054,0.09
,0.882,0.023,0.095
,0.527,0.057,0.416
,0.227,0.293,0.48
,0.639,0.303,0.058
,0.547,0.379,0.074
,0.414,0.254,0.332
