user,exp,tink,ref
ohmmgg1,0.674,0.273,0.053
ohmmgg2,0.098,0.765,0.137
ohmmgg3,0.844,0.008,0.148
ohmmgg4,0.507,0.304,0.189
ohmmgg5,0.56,0.003,0.437
ohmmgg6,0.436,0.031,0.533
ohmmgg7,0.475,0.193,0.332
ohmmgg8,0.334,0.383,0.283
ohmmgg9,0.574,0.21,0.216
ohmmgg10,0.222,0.164,0.614
ohmmgg11,0.596,0.347,0.057
ohmmgg12,0.547,0.003,0.45
ohmmgg13,0.424,0.105,0.471
ohmmgg14,0.261,0.436,0.303
ohmmgg15,0.881,0.041,0.078
ohmmgg16,0.006,0.168,0.826
ohmmgg17,0.312,0.286,0.402
ohmmgg18,0.242,0.081,0.677
ohmmgg19,0.014,0.464,0.522
ohmmgg20,0.005,0.712,0.283
ohmmgg21,0.164,0.377,0.459
ohmmgg22,0.396,0.019,0.585
ohmmgg23,0.138,0.147,0.715
ohmmgg24,0.244,0.361,0.395
ohmmgg25,0.304,0.104,0.592
