user,exp,tink,ref
ohmmgg1,0.227,0.293,0.48
ohmmgg2,0.484,0.105,0.411
ohmmgg3,0.288,0.561,0.151
ohmmgg4,0.123,0.825,0.052
ohmmgg5,0.666,0.13,0.204
ohmmgg6,0.81,0.05,0.14
ohmmgg7,0.827,0.132,0.041
ohmmgg8,0.591,0.09,0.319
ohmmgg9,0.441,0.261,0.298
ohmmgg10,0.153,0.504,0.343
ohmmgg11,0.0,0.0,0.0
ohmmgg12,0.519,0.043,0.438
ohmmgg13,0.0,0.0,0.0
ohmmgg14,0.952,0.002,0.046
ohmmgg15,0.043,0.044,0.913
ohmmgg16,0.704,0.098,0.198
ohmmgg17,0.884,0.028,0.088
ohmmgg18,0.878,0.114,0.008
ohmmgg19,0.363,0.215,0.422
ohmmgg20,0.528,0.434,0.038
ohmmgg21,0.874,0.126,0.0
ohmmgg22,0.388,0.084,0.528
ohmmgg23,0.616,0.322,0.062
ohmmgg24,0.44,0.488,0.072
ohmmgg25,0.545,0.263,0.192
