time,exp,tink,ref
,0.511,0.201,0.288
,0.788,0.191,0.021
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.708,0.015,0.277
,0.018,0.28,0.702
,0.64,0.098,0.262
,0.897,0.04,0.063
,0.486,0.268,0.246
,0.723,0.021,0.256
,0.798,0.188,0.014
,0.752,0.117,0.131
,0.254,0.592,0.154
,0.253,0.707,0.04
,0.0,0.0,0.0
,0.534,0.372,0.094
,0.97,0.016,0.014
,0.596,0.347,0.057
,0.514,0.299,0.187
,0.685,0.22,0.095
,0.045,0.47,0.485
,0.0,0.0,0.0
,0.364,0.018,0.618
,0.929,0.023,0.048
,0.494,0.105,0.401
,0.27,0.608,0.122
,0.0,0.0,0.0
,0.839,0.149,0.012
,0.644,0.071,0.285
,0.683,0.102,0.215
