user,exp,tink,ref
ohmmgg1,0.989,0.004,0.007
ohmmgg2,0.413,0.075,0.512
ohmmgg3,0.923,0.016,0.061
ohmmgg4,0.865,0.125,0.01
ohmmgg5,0.499,0.174,0.327
ohmmgg6,0.194,0.279,0.527
ohmmgg7,0.763,0.154,0.083
ohmmgg8,0.553,0.33,0.117
ohmmgg9,0.04,0.522,0.438
ohmmgg10,0.119,0.494,0.387
ohmmgg11,0.254,0.592,0.154
ohmmgg12,0.0,0.0,0.0
ohmmgg13,0.703,0.258,0.039
ohmmgg14,0.799,0.06,0.141
ohmmgg15,0.399,0.438,0.163
ohmmgg16,0.811,0.082,0.107
ohmmgg17,0.782,0.124,0.094
ohmmgg18,0.704,0.043,0.253
ohmmgg19,0.0,0.0,0.0
ohmmgg20,0.939,0.017,0.044
ohmmgg21,0.38,0.18,0.44
ohmmgg22,0.14,0.073,0.787
ohmmgg23,0.461,0.12,0.419
ohmmgg24,0.673,0.225,0.102
ohmmgg25,0.634,0.015,0.351
