user,exp,tink,ref
ohmmgg1,0.688,0.163,0.149
ohmmgg2,0.993,0.003,0.004
ohmmgg3,0.192,0.228,0.58
ohmmgg4,0.769,0.218,0.013
ohmmgg5,0.541,0.38,0.079
ohmmgg6,0.632,0.231,0.137
ohmmgg7,0.415,0.057,0.528
ohmmgg8,0.868,0.026,0.106
ohmmgg9,0.019,0.505,0.476
ohmmgg10,0.0,0.0,0.0
ohmmgg11,0.0,0.0,0.0
ohmmgg12,0.591,0.208,0.201
ohmmgg13,0.17,0.656,0.174
ohmmgg14,0.515,0.049,0.436
ohmmgg15,0.964,0.004,0.032
ohmmgg16,0.903,0.026,0.071
ohmmgg17,0.593,0.263,0.144
ohmmgg18,0.067,0.211,0.722
ohmmgg19,0.029,0.779,0.192
ohmmgg20,0.357,0.548,0.095
ohmmgg21,0.396,0.113,0.491
ohmmgg22,0.15,0.201,0.649
ohmmgg23,0.144,0.384,0.472
ohmmgg24,0.047,0.651,0.302
ohmmgg25,0.594,0.025,0.381
