user,exp,tink,ref
ohmmgg1,0.051,0.198,0.751
ohmmgg2,0.623,0.372,0.005
ohmmgg3,0.0,0.0,0.0
ohmmgg4,0.15,0.626,0.224
ohmmgg5,0.0,0.0,0.0
ohmmgg6,0.199,0.236,0.565
ohmmgg7,0.488,0.048,0.464
ohmmgg8,0.033,0.59,0.377
ohmmgg9,0.451,0.279,0.27
ohmmgg10,0.0,0.0,0.0
ohmmgg11,0.788,0.191,0.021
ohmmgg12,0.222,0.75,0.028
ohmmgg13,0.138,0.169,0.693
ohmmgg14,0.355,0.249,0.396
ohmmgg15,0.932,0.03,0.038
ohmmgg16,0.604,0.085,0.311
ohmmgg17,0.0,0.0,0.0
ohmmgg18,0.0,0.0,0.0
ohmmgg19,0.603,0.309,0.088
ohmmgg20,0.989,0.006,0.005
ohmmgg21,0.0,0.0,0.0
ohmmgg22,0.477,0.286,0.237
ohmmgg23,0.0,0.0,0.0
ohmmgg24,0.128,0.686,0.186
ohmmgg25,1.0,0.0,0.0
