time,exp,tink,ref
,0.304,0.462,0.234
,0.199,0.236,0.565
,0.632,0.231,0.137
,0.137,0.757,0.106
,0.311,0.648,0.041
,0.52,0.107,0.373
,0.381,0.273,0.346
,0.232,0.258,0.51
,0.779,0.13,0.091
,0.782,0.155,0.063
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.194,0.279,0.527
,0.407,0.519,0.074
,0.822,0.081,0.097
,0.02,0.852,0.128
,0.043,0.106,0.851
,0.436,0.031,0.533
,0.385,0.154,0.461
,0.802,0.021,0.177
,0.848,0.025,0.127
,0.0,0.0,0.0
,0.241,0.624,0.135
,0.738,0.232,0.03
,0.99,0.002,0.008
,0.0,0.0,0.0
,0.81,0.05,0.14
,0.623,0.091,0.286
,0.593,0.311,0.096
,0.375,0.368,0.257
