time,exp,tink,ref
,0.833,0.069,0.098
,0.15,0.626,0.224
,0.769,0.218,0.013
,0.464,0.198,0.338
,0.204,0.154,0.642
,0.139,0.841,0.02
,0.0,0.0,0.0
,0.829,0.071,0.1
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.105,0.243,0.652
,0.528,0.416,0.056
,0.865,0.125,0.01
,0.123,0.169,0.708
,0.503,0.225,0.272
,0.437,0.414,0.149
,0.159,0.513,0.328
,0.507,0.304,0.189
,0.575,0.28,0.145
,0.782,0.036,0.182
,0.261,0.502,0.237
,0.289,0.385,0.326
,0.874,0.06,0.066
,0.398,0.28,0.322
,0.992,0.002,0.006
,0.983,0.014,0.003
,0.123,0.825,0.052
,0.187,0.049,0.764
,0.139,0.055,0.806
,0.333,0.334,0.333
