time,exp,tink,ref
,0.18,0.359,0.461
,0.603,0.309,0.088
,0.029,0.779,0.192
,0.552,0.178,0.27
,0.675,0.044,0.281
,0.19,0.232,0.578
,0.336,0.556,0.108
,0.535,0.033,0.432
,0.941,0.014,0.045
,0.137,0.731,0.132
,0.46,0.0,0.54
,0.019,0.161,0.82
,0.0,0.0,0.0
,0.727,0.128,0.145
,0.0,0.0,0.0
,0.587,0.127,0.286
,0.603,0.012,0.385
,0.014,0.464,0.522
,0.012,0.673,0.315
,0.823,0.009,0.168
,0.559,0.159,0.282
,0.524,0.336,0.14
,0.263,0.649,0.088
,0.637,0.169,0.194
,0.0,0.0,0.0
,0.942,0.031,0.027
,0.363,0.215,0.422
,0.246,0.204,0.55
,0.931,0.043,0.026
,0.868,0.012,0.12
