time,exp,tink,ref
,0.709,0.277,0.014
,0.604,0.085,0.311
,0.903,0.026,0.071
,0.0,0.0,0.0
,0.273,0.457,0.27
,0.193,0.498,0.309
,0.969,0.029,0.002
,0.389,0.114,0.497
,0.313,0.607,0.08
,0.351,0.393,0.256
,0.789,0.137,0.074
,0.201,0.462,0.337
,0.811,0.082,0.107
,0.0,0.0,0.0
,0.575,0.286,0.139
,0.849,0.125,0.026
,0.808,0.115,0.077
,0.006,0.168,0.826
,0.52,0.36,0.12
,0.944,0.024,0.032
,0.429,0.121,0.45
,0.615,0.274,0.111
,0.505,0.159,0.336
,0.108,0.109,0.783
,0.163,0.625,0.212
,0.593,0.294,0.113
,0.704,0.098,0.198
,0.516,0.225,0.259
,0.311,0.087,0.602
,0.0,0.0,0.0
