user,exp,tink,ref
ohmmgg1,0.257,0.39,0.353
ohmmgg2,0.789,0.088,0.123
ohmmgg3,0.331,0.099,0.57
ohmmgg4,0.0,0.0,0.0
ohmmgg5,0.706,0.049,0.245
ohmmgg6,0.381,0.273,0.346
ohmmgg7,0.76,0.0,0.24
ohmmgg8,0.101,0.249,0.65
ohmmgg9,0.84,0.058,0.102
ohmmgg10,0.142,0.243,0.615
ohmmgg11,0.64,0.098,0.262
ohmmgg12,0.136,0.253,0.611
ohmmgg13,0.276,0.442,0.282
ohmmgg14,0.27,0.147,0.583
ohmmgg15,0.737,0.066,0.197
ohmmgg16,0.969,0.029,0.002
ohmmgg17,0.911,0.077,0.012
ohmmgg18,0.839,0.088,0.073
ohmmgg19,0.336,0.556,0.108
ohmmgg20,0.292,0.304,0.404
ohmmgg21,0.093,0.202,0.705
ohmmgg22,0.673,0.175,0.152
ohmmgg23,0.597,0.13,0.273
ohmmgg24,0.046,0.753,0.201
ohmmgg25,0.633,0.206,0.161
