time,exp,tink,ref
,0.9,0.008,0.092
,0.623,0.372,0.005
,0.993,0.003,0.004
,0.815,0.088,0.097
,0.295,0.577,0.128
,0.859,0.035,0.106
,0.789,0.088,0.123
,0.109,0.205,0.686
,0.103,0.759,0.138
,0.356,0.116,0.528
,0.362,0.391,0.247
,0.65,0.067,0.283
,0.413,0.075,0.512
,0.0,0.0,0.0
,0.638,0.137,0.225
,0.978,0.01,0.012
,0.629,0.072,0.299
,0.098,0.765,0.137
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.658,0.018,0.324
,0.11,0.297,0.593
,0.057,0.36,0.583
,0.942,0.039,0.019
,0.602,0.313,0.085
,0.065,0.812,0.123
,0.484,0.105,0.411
,0.584,0.233,0.183
,0.931,0.024,0.045
,0.0,0.0,0.0
