time,exp,tink,ref
,0.688,0.035,0.277
,0.033,0.59,0.377
,0.868,0.026,0.106
,0.194,0.495,0.311
,0.3,0.5,0.2
,0.495,0.473,0.032
,0.101,0.249,0.65
,0.897,0.044,0.059
,0.402,0.252,0.346
,0.376,0.086,0.538
,0.393,0.433,0.174
,0.871,0.039,0.09
,0.553,0.33,0.117
,0.7,0.109,0.191
,0.147,0.606,0.247
,0.488,0.208,0.304
,0.261,0.348,0.391
,0.334,0.383,0.283
,0.3,0.014,0.686
,0.264,0.133,0.603
,0.906,0.018,0.076
,0.846,0.076,0.078
,0.0,0.0,0.0
,0.526,0.289,0.185
,0.548,0.153,0.299
,0.289,0.616,0.095
,0.591,0.09,0.319
,0.0,0.0,0.0
,0.237,0.199,0.564
,0.78,0.184,0.036
